country,time,treated,fdi_net_gdp,log_gdp,import_goods_ser_gdp,export_goods_ser_gdp,cpi,gross_capital_forma_gdp,umempoyment_total
New Zealand,2000,0,5.00353319814101,25.502414938746288,32.7714683867522,35.7454584901409,119.05287665560269,22.0345630387436,6.13
New Zealand,2001,0,1.608619385161885,25.535960644558582,31.8027845111567,35.4310398408851,122.17898650112193,22.9520169059606,5.433
New Zealand,2002,0,2.1640599444027897,25.582021785142036,29.8089228515842,32.8470717038637,125.44983107953907,22.7465398243836,5.282
New Zealand,2003,0,-4.54308134978665,25.628227352535788,28.0750439440285,29.8397254017245,127.64968726190169,24.128385766287,4.745
New Zealand,2004,0,1.411033874459247,25.668296356258132,29.2561416675833,29.5434106069527,130.57318298426978,25.2816076708571,4.005
New Zealand,2005,0,2.220637453767727,25.701278819657105,29.7335780086782,28.2851654320382,134.53872100922476,25.4208681883182,3.807
New Zealand,2006,0,2.9698207675330153,25.728695244665424,29.9946512871794,29.6086137531685,139.0664897653422,23.7593311783447,3.857
New Zealand,2007,0,0.2513920251031303,25.758738497616626,29.1520466269894,29.2731139479196,142.37090857035554,24.7759451018626,3.661
New Zealand,2008,0,1.3165172025432939,25.746265683350074,32.3300212242484,32.0787092277964,148.0073007627078,22.7273687211598,4.167
New Zealand,2009,0,1.6644424362397638,25.74574602412768,26.4118122352772,28.73391077007,151.13861885758223,19.7352642982497,6.121
New Zealand,2010,0,-0.509806718625884,25.760088884613634,27.9779878234698,30.2736276814431,154.6178659247321,20.1748777920941,6.557
New Zealand,2011,0,0.8905232792626138,25.782254817253737,28.8447636483124,30.3943106604704,160.84572926538706,20.5600150213585,6.491
New Zealand,2012,0,2.234572300720751,25.804891297622248,28.1630757630096,28.8587271373003,162.55055435650613,21.1196630711652,6.931
New Zealand,2013,0,0.7043404227854081,25.832119031534273,27.2030996963019,28.813086079288,164.39456468632844,22.1364536484577,5.839
New Zealand,2014,0,0.908511697788669,25.86897463670693,27.168632750856,27.9795137186391,166.41252030726642,22.991442074339,5.428
New Zealand,2015,0,-0.03236771846801702,25.9056347259218,26.9357118525276,27.9525601318731,166.89961745600385,23.1447511129731,5.415
New Zealand,2016,0,1.467848736589457,25.942432423754163,25.8224405487973,26.639813972,167.97819001860475,23.084350136536,5.147
New Zealand,2017,0,1.19578058031378,25.975840918106726,26.6028948418431,27.5873336910609,171.0871096553611,23.6396031975344,4.736
New Zealand,2018,0,0.883820032391361,26.01023748520313,27.9152635928054,27.8839087705317,173.82158986141093,23.9332011640478,4.335
New Zealand,2019,0,2.102173256586287,26.033582479704062,27.1141375841523,27.3503056565813,176.63685978309314,23.6808790528515,4.109
New Zealand,2020,0,1.6046961527536592,26.02932436220003,22.2535915510134,21.7285787458231,179.66540772914442,22.9334861825898,4.595
New Zealand,2021,0,2.211414360593372,26.073783710849757,26.2123468357678,22.3372987322993,186.7462381382223,25.160205464554,3.776
New Zealand,2022,0,3.034631108157137,26.10115412661472,29.692093415291,24.3948255658574,200.14009806864817,25.7865982772444,3.297
Norway,1990,0,-0.38796636439617393,26.078947789458955,32.6591194901455,38.7279775851791,100.0,24.7645897039585,5.407
Norway,1991,0,-1.75334763261289,26.10932604793837,31.0001303653901,38.5896743016908,103.43819599109135,22.3126060800899,5.407
Norway,1992,0,-0.41877122831048974,26.14444662614623,30.1150052945973,36.596059737324,105.84632516703797,21.6355324667658,5.91
Norway,1993,0,0.22655947703404,26.172501217360164,30.5571305153957,36.693550744037,108.26837416481072,22.1558076270661,5.965
Norway,1994,0,0.4488843743378499,26.221817661889258,30.8905512671052,36.7440445275634,109.75779510022284,23.0188733920169,5.349
Norway,1995,0,-0.3068223991286301,26.262533336293675,30.680546297623,36.6187399936458,112.45824053452115,24.2056693848649,6.307
Norway,1996,0,-1.6551890751175602,26.31158979134522,30.7691870079039,39.4324491405859,113.87806236080182,22.9008639652897,5.036
Norway,1997,0,-0.6924641714941,26.3630868276259,32.1176862284683,40.0360103036781,116.80122494432075,25.1989766414916,4.687
